name,youtube_url,date,court,duration_minutes
Tränare Tisdag 20.30 våren 2026 2026-03-24 - Bana 10,https://www.youtube.com/watch?v=QeOIToFYjqo,2026-03-24 20:30,Bana 10,90
Tränare Tisdag 20.30 våren 2026 2026-03-24 - Bana 8,https://www.youtube.com/watch?v=wkOq_IgJEo8,2026-03-24 20:30,Bana 8,90
Tränare Tisdag 20.30 våren 2026 2026-03-24 - Bana 9,https://www.youtube.com/watch?v=HQa8dNNRehw,2026-03-24 20:30,Bana 9,90
Tränare Tisdag 17.00 våren 2026 2026-03-24 - Bana 10,https://www.youtube.com/watch?v=7YvDWc1YF-A,2026-03-24 17:00,Bana 10,90
Tränare Tisdag 17.00 våren 2026 2026-03-24 - Bana 7,https://www.youtube.com/watch?v=VfQ0E98Lg_Q,2026-03-24 17:00,Bana 7,90
Tränare Tisdag 17.00 våren 2026 2026-03-24 - Bana 8,https://www.youtube.com/watch?v=BeqGGhYIdLU,2026-03-24 17:00,Bana 8,90
Tränare Tisdag 17.00 våren 2026 2026-03-24 - Bana 9,https://www.youtube.com/watch?v=GZEo5_13xZs,2026-03-24 17:00,Bana 9,90
Tränare Måndag 20.30 våren 2026 2026-03-23 - Bana 10,https://www.youtube.com/watch?v=CxTXJfzMjnc,2026-03-23 20:30,Bana 10,90
Tränare Måndag 20.30 våren 2026 2026-03-23 - Bana 8,https://www.youtube.com/watch?v=hEoOaJXSEZI,2026-03-23 20:30,Bana 8,90
Tränare Måndag 20.30 våren 2026 2026-03-23 - Bana 9,https://www.youtube.com/watch?v=2vNyYvioAPk,2026-03-23 20:30,Bana 9,90
Smaragd 2026-03-23,https://www.youtube.com/watch?v=IOABZCeZVQQ,2026-03-23 20:30,Bana 7,90
Pollux 2026-03-23,https://www.youtube.com/watch?v=AwoeuMSyCeE,2026-03-23 20:30,Bana 4,90
Tränare Måndag 19.00 våren 2026 2026-03-23 - Bana 10,https://www.youtube.com/watch?v=wnBEpt1lex8,2026-03-23 19:00,Bana 10,90
Tränare Måndag 19.00 våren 2026 2026-03-23 - Bana 8,https://www.youtube.com/watch?v=fw5p9OMgXFA,2026-03-23 19:00,Bana 8,90
Tränare Måndag 19.00 våren 2026 2026-03-23 - Bana 9,https://www.youtube.com/watch?v=drMipNjlBTw,2026-03-23 19:00,Bana 9,90
Sirius 2026-03-23,https://www.youtube.com/watch?v=IK98P6wIxdM,2026-03-23 19:00,Bana 7,90
Rubin 2026-03-23,https://www.youtube.com/watch?v=9JOwBTrl7rk,2026-03-23 19:00,Bana 4,90
Diamant 2026-03-23,https://www.youtube.com/watch?v=g8i3c2pvKFo,2026-03-23 17:30,Bana 4,90
Tränare Måndag 17.00 våren 2026 2026-03-23 - Bana 10,https://www.youtube.com/watch?v=OPqZ-xrQ4AU,2026-03-23 17:00,Bana 10,120
Tränare Måndag 17.00 våren 2026 2026-03-23 - Bana 7,https://www.youtube.com/watch?v=8JU1ScUanm8,2026-03-23 17:00,Bana 7,120
